name_description,true_label,zeroshot_pred,fewshot_pred
Lal Haveli Rajasthani Handmade Decorative Wood Jharoka Showpiece  -  30.48 cm Buy Lal Haveli Rajasthani Handmade Decorative Wood Jharoka Showpiece  -  30.48 cm for Rs.749 online. Lal Haveli Rajasthani Handmade Decorative Wood Jharoka Showpiece  -  30.48 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Ocean CPGW087 Key Features of Ocean CPGW087 Pack of 6 Multipurpose,Ocean CPGW087 (280 ml, Clear, Pack of 6) Price: Rs. 643 Ocean Glassware is one of Asia's Leading Glassware Manufacturers. Its prime focus is Clear and Good Quality Soda Lime Based Glassware. The New Retail Gift Packs represent a unique and refreshing image of Ocean Glassware, targeted to meet Gifting Needs and enhance Customer Satisfaction, Happiness and Pleasure through the use of Ocean Products for Wining, Dining and Socializing. Established in 1979, as another industrial diversification of the Ocean Insurance Group, Ocean Glass Public Company Limited has manufactured glassware of international standards since its inception. Ocean Glass is one of Asia's leading glass tableware manufacturers, providing an extensive range of quality glassware and services in all aspects of business, from retail and food service to decorated glassware.,Specifications of Ocean CPGW087 (280 ml, Clear, Pack of 6) In the Box Pack of 6 General Brand Ocean Model Number CPGW087 Type Glass Set Color Clear Capacity 280 ml Body & Design Features Glass Type Multipurpose Material Glass",Kitchen & Dining,Home Furnishing,Home Furnishing
Asus RT-AC68U Dual-band Wireless-AC1900 Gigabit Router Buy Asus RT-AC68U Dual-band Wireless-AC1900 Gigabit Router only for Rs. 22000 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Computers,Computers,Computers
"Perucci Pc-122 & Pc-126 Decker Analog Watch  - For Men Perucci Pc-122 & Pc-126 Decker Analog Watch  - For Men - Buy Perucci Pc-122 & Pc-126 Decker Analog Watch  - For Men  Pc-122 & Pc-126 Online at Rs.440 in India Only at Flipkart.com. Beautifull Watches, Comfortable Watches, Fancy Watche, Stylish Watches, Watch For Men, Dynos Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Prithish Happy Birthday Ceramic Mug Buy Prithish Happy Birthday Ceramic Mug for Rs.175 online. Prithish Happy Birthday Ceramic Mug at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Home Furnishing,Home Furnishing
Philips 9.5 W LED B22 3000K A55 IND Bulb Buy Philips 9.5 W LED B22 3000K A55 IND Bulb for Rs.419 online. Philips 9.5 W LED B22 3000K A55 IND Bulb at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Kitchen & Dining,Kitchen & Dining
"Cotonex Beige Cotton Kitchen Linen Set Cotonex Beige Cotton Kitchen Linen Set (Pack of 2) Price: Rs. 299 Reviews of Cotonex 100% Pure Cotton Glove,Specifications of Cotonex Beige Cotton Kitchen Linen Set (Pack of 2) General Brand Cotonex Design Code KLS221 Material Cotton Style Code 56213KLS221 Pattern Solid Design Solid Design Color Beige Dimensions Weight 150 Additional Features Fabric Care Machine washable, do not dry clean, do not bleach In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Glove",Home Furnishing,Kitchen & Dining,Kitchen & Dining
Wallmantra Abstract Colors Modern Art Wall Hanging Canvas Painting Buy Wallmantra Abstract Colors Modern Art Wall Hanging Canvas Painting for Rs.1749 online. Wallmantra Abstract Colors Modern Art Wall Hanging Canvas Painting at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Innovative Single Corner Stainless Steel Wall Shelf Key Features of Innovative Single Corner Stainless Steel Wall Shelf Suitable For: Living Room & Bedroom Wall Mountable Rust Proof,Innovative Single Corner Stainless Steel Wall Shelf (Number of Shelves - 1, Silver) Price: Rs. 599 Shelf Corner Single,Specifications of Innovative Single Corner Stainless Steel Wall Shelf (Number of Shelves - 1, Silver) General Brand Innovative Suitable For Living Room & Bedroom Model Number 1001 Model Name Single Corner Material Stainless Steel Color Silver Dimensions Height 7 inch Width 9 inch Body & Design Features Number of Shelves 1 In the Box Sales Package 1 Shelf Pack of 1 Additional Features Rust Proof Yes",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Furnishing
Creative Width Decor Medium Vinyl Sticker Sticker Buy Creative Width Decor Medium Vinyl Sticker Sticker for Rs.499 online. Creative Width Decor Medium Vinyl Sticker Sticker at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR13G/L 75 Adapter Key Features of Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR13G/L 75 Adapter Designed  for Sony   Vaio VGN-CR13G/L,Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR13G/L 75 Adapter (Power Cord Included) Price: Rs. 599 This is a SmartPro Brand Product. Smartpro Laptop Adapter For 75W Charger for Sony Vaio VGN-CR13G/L 19.5V 3.9A 19.5V 3.95A Connector Pin Size 6.5 x 4.4. This Smartpro replacement adapter is designed to provide reliable power and charge to your laptop. Made from highest quality parts each replacement adapter conforms to specifications similar to original in its quality. Each adapter also passes necessary authentication certifications like CE, ROHS etc. Before leaving the factory, so you can be rest assured for its quality, durability and performance. Please note that all images are indicative, actual product label may vary. Before place order the adapter please assure that you have select right adapter for your laptop. Please check the adapter's voltage and current compliance with the requirment of laptop. Adapter output current laptop rated current, adapter output volatege and notebook voltage deviation , please also check adapter pin with image before place order.,Specifications of Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR13G/L 75 Adapter (Power Cord Included) General Brand Smartpro Designed For Vaio VGN-CR13G/L Sales Package 1 Laptop Adapter Key Features Designed for Sony Vaio VGN-CR13G/L Connector Pin Type 6.5mm x 4.4mm Model Id 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR13G/L Power Power Input 220 V, 50 - 60 Hz Power Consumption (W) 75 W Output Current (A) 3.9 A Output Voltage (V) 19.5 V Warranty Covered in Warranty Warranty of the product is limited to manufacturing defects only Warranty Summary 6 Month India Warranty Warranty Service Type Replacement or Repair Carry in Warranty. Customer needs to Carry in / send it for Replacement or Repairs and the Replaced Product will be sent back to Customer Not Covered in Warranty Warranty does not cover any external accessories (such as battery, cable, carrying bag), damage caused to the product due to improper installation by customer, normal wear and tear to magnetic heads, audio, video, laser pick-ups and TV picture tubes, pane",Computers,Computers,Computers
Tenda TE-W368R Buy Tenda TE-W368R only for Rs. 1500 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Computers,Computers,Computers
"Oxolloxo Solid Single Breasted Casual Women's Blazer Specifications of Oxolloxo Solid Single Breasted Casual Women's Blazer General Details Pattern Solid Ideal For Women's Occasion Casual Blazer Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric Linen Type Single Breasted Color Orange Fabric Care Machine wash, do not bleach, do not tumble dry, warm iron, dry cleanable. Additional Details Style Code S16184WBZ006",Baby Care,Home Decor & Festive Needs,Computers
Love Baby Cartoon Set of Towels Buy Love Baby Cartoon Set of Towels at Rs. 425 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Baby Care,Baby Care,Baby Care
"Times 317TMS317 Party-Wedding Analog Watch  - For Men Times 317TMS317 Party-Wedding Analog Watch  - For Men - Buy Times 317TMS317 Party-Wedding Analog Watch  - For Men  317TMS317 Online at Rs.550 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"PRINT SHAPES Graphic Dancer Laptop Skin with Mouse pad Combo Set Key Features of PRINT SHAPES Graphic Dancer Laptop Skin with Mouse pad Combo Set Glue Free Removal 15.6 inches Laptop skin Easy to Apply & Scratch Resistant Lamination,PRINT SHAPES Graphic Dancer Laptop Skin with Mouse pad Combo Set (Multicolor) Price: Rs. 329 Print Shapes Laptop skin made on High Quality vinyl sheet is compatible with laptops screen sizes ranging from 14.1 inches to 15.6 inches. Trimning of the skin would be required as per your laptop size. The skins are easy to install & remove without leaving any gum or residue,Specifications of PRINT SHAPES Graphic Dancer Laptop Skin with Mouse pad Combo Set (Multicolor) General Brand PRINT SHAPES Model Name Graphic Dancer Laptop Skin with Mouse pad Suitable_for All types of Laptop Color Multicolor Warranty Warranty Summary No Warranty In the Box Number of Contents in Sales Package Pack of 2",Computers,Computers,Computers
Go Hooked Wheel Pizza Cutter Buy Go Hooked Wheel Pizza Cutter for Rs.199 online. Go Hooked Wheel Pizza Cutter at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Kitchen & Dining,Kitchen & Dining
"Alfajr WY16B Youth Digital Watch  - For Men, Boys Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Oxyglow Fruit Massage Cream With Vitamin-E & Shea Butter & Kokum Butter Buy Oxyglow Fruit Massage Cream With Vitamin-E & Shea Butter & Kokum Butter for Rs.453 online. Oxyglow Fruit Massage Cream With Vitamin-E & Shea Butter & Kokum Butter at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
"Rockmantra Colorful Ceramic Mug Rockmantra Colorful Ceramic Mug (5.5 l)
                         Price: Rs. 199
				
			Give a thrilling yet fresh start to your day. An exclusive creation by Rockmantra, this mug features porcelain crafting ensuring the design stays permanent for years to come and making it a perfect pick to gift your loved ones too!Dishwasher and microwave safe. Product details and specifications :Material : CeramicSize : 3.5"" X 4""
Give a thrilling yet fresh start to your day. An exclusive creation by Rockmantra, this mug features porcelain crafting ensuring the design stays permanent for years to come and making it a perfect pick to gift your loved ones too!Dishwasher and microwave safe. Product details and specifications :Material : CeramicSize : 3.5"" X 4""",Kitchen & Dining,Home Furnishing,Home Furnishing
Port Interiordesign Showpiece  -  16 cm Buy Port Interiordesign Showpiece  -  16 cm for Rs.1699 online. Port Interiordesign Showpiece  -  16 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Furnishing,Home Decor & Festive Needs
"Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener (30 ml)
                         Price: Rs. 245
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Electric Burner Combo With Fragrance That Is Brought To You By Myesquire. This Is A Very Unique, Useful And Value for Money Product For Home Decoration And Fragrance. This Unique Combo Contains Aroma Burner With All Accessories and is ready to use . Put A Small Amount 1-2 Tea Spoon Of Aroma Oil On The Bowl Surface And Light The Tea Light and After Few Minutes As The Oil Heats Up, The Fragrance Will Spread In The Room. And You Will Be All Set To Enjoy The Captivating Aroma. Keep It Away From Children As Surface Becomes Hot.
Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Electric Burner Combo With Fragrance That Is Brought To You By Myesquire. This Is A Very Unique, Useful And Value for Money Product For Home Decoration And Fragrance. This Unique Combo Contains Aroma Burner With All Accessories and is ready to use . Put A Small Amount 1-2 Tea Spoon Of Aroma Oil On The Bowl Surface And Light The Tea Light and After Few Minutes As The Oil Heats Up, The Fragrance Will Spread In The Room. And You Will Be All Set To Enjoy The Captivating Aroma. Keep It Away From Children As Surface Becomes Hot.",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Homec Geometric Cushions Cover Homec Geometric Cushions Cover (Pack of 10, 40 cm*40 cm, Green)
                         Price: Rs. 799
				
			Homec Trandy Cushion Covers Set Of 10 In 40 Cm X 40 Cm (Color - Green)
Homec Trandy Cushion Covers Set Of 10 In 40 Cm X 40 Cm (Color - Green)",Home Furnishing,Home Furnishing,Home Furnishing
"Maxima 06362CMGY Gold Analog Watch  - For Men Maxima 06362CMGY Gold Analog Watch  - For Men - Buy Maxima 06362CMGY Gold Analog Watch  - For Men  06362CMGY Online at Rs.995 in India Only at Flipkart.com. Water Resistant, Round Dial, Deployment Clasp, Golden Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Eurospa Cotton Terry Face Towel Set Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET",Baby Care,Home Furnishing,Home Furnishing
"Maxima 24742LMGY Gold Analog Watch  - For Men Maxima 24742LMGY Gold Analog Watch  - For Men - Buy Maxima 24742LMGY Gold Analog Watch  - For Men  24742LMGY Online at Rs.950 in India Only at Flipkart.com. Black Strap, Water Resistant, Round Dial - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Binatone WR3000N Buy Binatone WR3000N only for Rs. 1800 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Computers,Computers,Computers
"Ollington St. Collection Baby Reusable Diaper With One Insert Ollington St. Collection Baby Reusable Diaper With One Insert
                         Price: Rs. 599
				
			Form fitting and reusable Ollington St. diaper and inserts set for your baby.

Features:
-Reusable diapers
-Snap closure adjusts to fit all sizes
-Trim, snug and comfortable
-Keeps your little one stain and irritation free
-A front panel to insert disposable pad
-Includes 1 reusable insert
-Material: Polyester and PU
-One size diaper
-Available Colours: Green,Pink,Red,Turquoise Blue,Blue,Dark Blue
-Sizes: Diaper-23 x 19 cms (Approx.), Insert- 34 x 13 cms (Approx.)

Wash Instructions:
-Wash before first use
-Wash upto 60 degree Celsius
-Avoid fabric softener or bleach
-Tumble dry or line dry
-Age group: 0 to 36 months
Form fitting and reusable Ollington St. diaper and inserts set for your baby.

Features:
-Reusable diapers
-Snap closure adjusts to fit all sizes
-Trim, snug and comfortable
-Keeps your little one stain and irritation free
-A front panel to insert disposable pad
-Includes 1 reusable insert
-Material: Polyester and PU
-One size diaper
-Available Colours: Green,Pink,Red,Turquoise Blue,Blue,Dark Blue
-Sizes: Diaper-23 x 19 cms (Approx.), Insert- 34 x 13 cms (Approx.)

Wash Instructions:
-Wash before first use
-Wash upto 60 degree Celsius
-Avoid fabric softener or bleach
-Tumble dry or line dry
-Age group: 0 to 36 months",Baby Care,Baby Care,Baby Care
Uberlyfe Large Vinyl Sticker Buy Uberlyfe Large Vinyl Sticker for Rs.595 online. Uberlyfe Large Vinyl Sticker at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Baby Care,Home Decor & Festive Needs,Home Decor & Festive Needs
"Crystle Crystle01 CRSTL - Bluecensor USB Led Light, USB Cable Buy Crystle Crystle01 CRSTL - Bluecensor USB Led Light, USB Cable for Rs.199 online. Crystle Crystle01 CRSTL - Bluecensor USB Led Light, USB Cable at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.",Computers,Computers,Computers
Rajo Raja Magan Buddha Artpiece Showpiece  -  20.5 cm Buy Rajo Raja Magan Buddha Artpiece Showpiece  -  20.5 cm for Rs.1799 online. Rajo Raja Magan Buddha Artpiece Showpiece  -  20.5 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Aroma Comfort Polyester Brown Floral Eyelet Long Door Curtain Key Features of Aroma Comfort Polyester Brown Floral Eyelet Long Door Curtain Height: 274 cm Width: 4 inch,Specifications of Aroma Comfort Polyester Brown Floral Eyelet Long Door Curtain (274 cm in Height, Pack of 2) General Brand Aroma Comfort Designed For Long Door Type Eyelet Model Name PATTA Model ID AC-535 Color Brown Dimensions Length 274 cm Body & Design Material Polyester In the Box Number of Contents in Sales Package Pack of 2",Home Furnishing,Home Decor & Festive Needs,Home Decor & Festive Needs
"Times 327TMS327 Party-Wedding Analog Watch  - For Women Times 327TMS327 Party-Wedding Analog Watch  - For Women - Buy Times 327TMS327 Party-Wedding Analog Watch  - For Women  327TMS327 Online at Rs.599 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Rajasthan Crafts Abstract Single Quilts & Comforters Pink Buy Rajasthan Crafts Abstract Single Quilts & Comforters Pink at Rs. 840 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Decor & Festive Needs,Home Furnishing
Bagru Crafts Cotton Set of Towels Buy Bagru Crafts Cotton Set of Towels at Rs. 490 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Furnishing,Home Furnishing
"Marvel DW100243 Digital Watch  - For Boys, Girls Marvel DW100243 Digital Watch  - For Boys, Girls - Buy Marvel DW100243 Digital Watch  - For Boys, Girls  DW100243 Online at Rs.299 in India Only at Flipkart.com. Buckle Clasp, Multi-color Strap, Contemporary Dial - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Archies VJ-556 Combo Set Flipkart.com: Buy Archies VJ-556 Combo Set online only for Rs. 399 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Home Furnishing,Home Furnishing
BabyBucket Cotton Bath Towel Buy BabyBucket Cotton Bath Towel at Rs. 735 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Baby Care,Baby Care,Baby Care
"Sonata 7926SL01 Watch Sonata 7926SL01 Watch - Buy Sonata 7926SL01 Watch  7926SL01 Online at Rs.750 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.",Watches,Watches,Watches
Unique Design Handcrafted Brass Mini Chair Table Set Showpiece  -  10 cm Buy Unique Design Handcrafted Brass Mini Chair Table Set Showpiece  -  10 cm for Rs.499 online. Unique Design Handcrafted Brass Mini Chair Table Set Showpiece  -  10 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Prithish Blue & Gold Heart, I Love You Ceramic Mug Buy Prithish Blue & Gold Heart, I Love You Ceramic Mug for Rs.175 online. Prithish Blue & Gold Heart, I Love You Ceramic Mug at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.",Kitchen & Dining,Home Furnishing,Home Furnishing
"Tatvaarts Elephant Mini ( Fine-Finish) Showpiece  -  8.89 cm Tatvaarts Elephant Mini ( Fine-Finish) Showpiece  -  8.89 cm (Brass, Gold)
                         Price: Rs. 4,200
				
			Elephants are such animals that everybody loves them, be it in reality or in form of toys, paintings, on accessories or artifacts. This is an adorable elephant which is adorned with traditional and beautiful hand carved designs.Specialty: Made from brass (alloy of copper and zinc) Hand carved designs Traditional and natural feel Lustrous and gold like appearance Handmade by the craftsmen 
Elephants are such animals that everybody loves them, be it in reality or in form of toys, paintings, on accessories or artifacts. This is an adorable elephant which is adorned with traditional and beautiful hand carved designs.Specialty: Made from brass (alloy of copper and zinc) Hand carved designs Traditional and natural feel Lustrous and gold like appearance Handmade by the craftsmen ",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Rockmantra Abstracts 16 Ceramic Mug Rockmantra Abstracts 16 Ceramic Mug (5.5 l)
                         Price: Rs. 199
				
			Give a thrilling yet fresh start to your day. An exclusive creation by Rockmantra, this mug features porcelain crafting ensuring the design stays permanent for years to come and making it a perfect pick to gift your loved ones too!Dishwasher and microwave safe. Product details and specifications :Material : CeramicSize : 3.5"" X 4""
Give a thrilling yet fresh start to your day. An exclusive creation by Rockmantra, this mug features porcelain crafting ensuring the design stays permanent for years to come and making it a perfect pick to gift your loved ones too!Dishwasher and microwave safe. Product details and specifications :Material : CeramicSize : 3.5"" X 4""",Kitchen & Dining,Home Furnishing,Home Furnishing
